Date,Index Value
14/03/2018,2665.532471
15/03/2018,2386.783064
16/03/2018,2413.43966
17/03/2018,2419.246092
18/03/2018,2326.88107
19/03/2018,2472.195003
20/03/2018,2588.809517
21/03/2018,2707.806311
22/03/2018,2702.964787
23/03/2018,2664.535063
24/03/2018,2740.811368
25/03/2018,2625.315974
26/03/2018,2583.866417
27/03/2018,2520.241149
28/03/2018,2443.34432
29/03/2018,2520.690598
30/03/2018,2277.070078
31/03/2018,2150.645114
01/04/2018,2476.061352
02/04/2018,2451.337696
03/04/2018,2547.729578
04/04/2018,2647.918554
05/04/2018,2436.317062
06/04/2018,2426.305592
07/04/2018,2377.619459
08/04/2018,2478.112017
09/04/2018,2517.83198
10/04/2018,2407.419696
11/04/2018,2412.934142
12/04/2018,2430.810291
13/04/2018,2777.53771
14/04/2018,2766.340461
15/04/2018,2812.645754
16/04/2018,2919.716557
17/04/2018,2812.076734
18/04/2018,2746.097346
19/04/2018,2812.989213
20/04/2018,2797.7647
21/04/2018,2972.120912
22/04/2018,3026.496474
23/04/2018,2957.211855
24/04/2018,2980.37132
25/04/2018,3219.501937
26/04/2018,3004.096325
27/04/2018,3138.760774
28/04/2018,3043.282986
29/04/2018,3156.611083
30/04/2018,3187.916525
01/05/2018,3154.931936
02/05/2018,3081.700506
03/05/2018,3116.268004
04/05/2018,3242.972686
05/05/2018,3204.894069
06/05/2018,3218.990072
07/05/2018,3176.621535
08/05/2018,3102.768017
09/05/2018,3038.403864
10/05/2018,3094.433217
11/05/2018,3010.641646
12/05/2018,2804.760034
13/05/2018,2832.372987
14/05/2018,2886.941711
15/05/2018,2872.536837
16/05/2018,2833.255505
17/05/2018,2775.347947
18/05/2018,2712.206911
19/05/2018,2765.328732
20/05/2018,2771.195087
21/05/2018,2861.716531
22/05/2018,2835.631805
23/05/2018,2718.572916
24/05/2018,2574.747064
25/05/2018,2562.814498
26/05/2018,2544.981997
27/05/2018,2491.76156
28/05/2018,2516.552479
29/05/2018,2484.321437
30/05/2018,2565.833343
31/05/2018,2535.463064
01/06/2018,2554.49433
02/06/2018,2560.80935
03/06/2018,2599.624732
04/06/2018,2590.400105
05/06/2018,2538.561932
06/06/2018,2568.194706
07/06/2018,2591.998977
08/06/2018,2597.359408
09/06/2018,2581.251091
10/06/2018,2543.455293
11/06/2018,2297.533755
12/06/2018,2353.897021
13/06/2018,2259.578199
14/06/2018,2166.798923
15/06/2018,2278.088562
16/06/2018,2217.60686
17/06/2018,2247.319283
18/06/2018,2235.837869
19/06/2018,2318.895842
20/06/2018,2312.885593
21/06/2018,2324.24204
22/06/2018,2323.470037
23/06/2018,2107.279105
24/06/2018,2146.923729
25/06/2018,2155.24652
26/06/2018,2192.090268
27/06/2018,2164.174906
28/06/2018,2163.018369
29/06/2018,2072.643403
30/06/2018,2199.309919
01/07/2018,3597.961692
02/07/2018,3572.784176
03/07/2018,3704.013102
04/07/2018,3654.749003
05/07/2018,3702.390047
06/07/2018,3672.557202
07/07/2018,3703.875912
08/07/2018,3774.462606
09/07/2018,3750.08978
10/07/2018,3750.775497
11/07/2018,3598.936347
12/07/2018,3630.018464
13/07/2018,3538.571506
14/07/2018,3532.558095
15/07/2018,3551.43092
16/07/2018,3584.629874
17/07/2018,3806.800498
18/07/2018,4165.268914
19/07/2018,4242.570115
20/07/2018,4322.521987
21/07/2018,4283.195234
22/07/2018,4309.390655
23/07/2018,4316.338524
24/07/2018,4565.025967
25/07/2018,4989.722146
26/07/2018,4830.133689
27/07/2018,4689.870555
28/07/2018,4863.011097
29/07/2018,4910.139761
30/07/2018,4883.259392
31/07/2018,4861.911856
01/08/2018,4612.974679
02/08/2018,4546.695386
03/08/2018,4514.132417
04/08/2018,4384.493331
05/08/2018,4154.214269
06/08/2018,4164.01535
07/08/2018,4109.558162
08/08/2018,4010.479182
09/08/2018,3746.486573
10/08/2018,3937.032474
11/08/2018,3737.053164
12/08/2018,3819.497061
13/08/2018,3892.506489
14/08/2018,3941.540203
15/08/2018,3903.808026
16/08/2018,3956.026839
17/08/2018,3988.405833
18/08/2018,4061.691215
19/08/2018,4008.736095
20/08/2018,4072.211634
21/08/2018,3962.298274
22/08/2018,4086.759758
23/08/2018,4018.126073
24/08/2018,4155.120218
25/08/2018,4242.413672
26/08/2018,4291.676217
27/08/2018,4280.257022
28/08/2018,4372.371258
29/08/2018,4477.921265
30/08/2018,4479.894946
31/08/2018,4454.798049
01/09/2018,4487.150661
02/09/2018,4573.33703
03/09/2018,4666.988531
04/09/2018,4655.19919
05/09/2018,4728.400413
06/09/2018,4381.620355
07/09/2018,4225.117728
08/09/2018,4216.456125
09/09/2018,4113.486616
10/09/2018,4136.656757
11/09/2018,4194.833818
12/09/2018,4218.438421
13/09/2018,4257.624913
14/09/2018,4297.324829
15/09/2018,4310.175729
16/09/2018,4328.127309
17/09/2018,4298.066383
18/09/2018,4173.513006
19/09/2018,4186.493422
20/09/2018,4210.501375
21/09/2018,4217.348619
22/09/2018,4321.57072
23/09/2018,4314.024685
24/09/2018,4288.429366
25/09/2018,4263.931177
26/09/2018,4173.262828
27/09/2018,4208.272215
28/09/2018,4316.488238
29/09/2018,4301.329559
